areaCode,areaName,areaType,date,age,cases,rollingSum,rollingRate
E08000001,Bolton,utla,2021-05-05,25_29,9,28,150.7
E08000001,Bolton,utla,2021-05-05,30_34,11,36,183.2
E08000001,Bolton,utla,2021-05-05,35_39,9,28,151.7
E08000001,Bolton,utla,2021-05-05,40_44,6,33,195.8
E08000001,Bolton,utla,2021-05-05,45_49,6,18,93.2
E08000001,Bolton,utla,2021-05-05,50_54,1,14,69.8
E08000001,Bolton,utla,2021-05-05,55_59,0,8,43.8
E08000001,Bolton,utla,2021-05-05,60_64,3,8,52.4
E08000001,Bolton,utla,2021-05-05,65_69,2,9,65.0
E08000001,Bolton,utla,2021-05-05,70_74,0,7,50.5
E08000001,Bolton,utla,2021-05-05,75_79,2,4,41.6
E08000001,Bolton,utla,2021-05-05,80_84,0,1,14.9
E08000001,Bolton,utla,2021-05-05,85_89,0,0,0.0
E08000001,Bolton,utla,2021-05-05,90+,0,0,0.0
E08000001,Bolton,utla,2021-05-05,unassigned,0,0,
E08000001,Bolton,utla,2021-05-05,60+,7,29,44.6
E08000001,Bolton,utla,2021-05-05,00_59,82,307,138.0
E08000001,Bolton,utla,2021-05-04,00_04,1,4,20.9
E08000001,Bolton,utla,2021-05-04,05_09,6,14,69.3
E08000001,Bolton,utla,2021-05-04,10_14,11,34,181.0
E08000001,Bolton,utla,2021-05-04,15_19,15,34,205.0
E08000001,Bolton,utla,2021-05-04,20_24,5,28,168.8
E08000001,Bolton,utla,2021-05-04,25_29,4,22,118.4
E08000001,Bolton,utla,2021-05-04,30_34,8,27,137.4
E08000001,Bolton,utla,2021-05-04,35_39,2,23,124.6
E08000001,Bolton,utla,2021-05-04,40_44,6,31,183.9
E08000001,Bolton,utla,2021-05-04,45_49,2,15,77.6
E08000001,Bolton,utla,2021-05-04,50_54,3,14,69.8
E08000001,Bolton,utla,2021-05-04,55_59,0,11,60.3
E08000001,Bolton,utla,2021-05-04,60_64,0,5,32.8
E08000001,Bolton,utla,2021-05-04,65_69,0,7,50.6
E08000001,Bolton,utla,2021-05-04,70_74,0,7,50.5
E08000001,Bolton,utla,2021-05-04,75_79,0,2,20.8
E08000001,Bolton,utla,2021-05-04,80_84,1,1,14.9
E08000001,Bolton,utla,2021-05-04,85_89,0,0,0.0
E08000001,Bolton,utla,2021-05-04,90+,0,0,0.0
E08000001,Bolton,utla,2021-05-04,unassigned,0,0,
E08000001,Bolton,utla,2021-05-04,60+,1,22,33.8
E08000001,Bolton,utla,2021-05-04,00_59,63,257,115.5
E08000001,Bolton,utla,2021-05-03,00_04,3,4,20.9
E08000001,Bolton,utla,2021-05-03,05_09,3,11,54.5
E08000001,Bolton,utla,2021-05-03,10_14,4,26,138.4
E08000001,Bolton,utla,2021-05-03,15_19,7,25,150.7
E08000001,Bolton,utla,2021-05-03,20_24,5,25,150.7
E08000001,Bolton,utla,2021-05-03,25_29,3,21,113.1
E08000001,Bolton,utla,2021-05-03,30_34,1,22,112.0
E08000001,Bolton,utla,2021-05-03,35_39,4,24,130.0
E08000001,Bolton,utla,2021-05-03,40_44,4,27,160.2
E08000001,Bolton,utla,2021-05-03,45_49,3,17,88.0
E08000001,Bolton,utla,2021-05-03,50_54,1,12,59.8
E08000001,Bolton,utla,2021-05-03,55_59,1,13,71.2
E08000001,Bolton,utla,2021-05-03,60_64,1,5,32.8
E08000001,Bolton,utla,2021-05-03,65_69,1,7,50.6
E08000001,Bolton,utla,2021-05-03,70_74,1,7,50.5
E08000001,Bolton,utla,2021-05-03,75_79,0,2,20.8
E08000001,Bolton,utla,2021-05-03,80_84,0,1,14.9
E08000001,Bolton,utla,2021-05-03,85_89,0,0,0.0
E08000001,Bolton,utla,2021-05-03,90+,0,0,0.0
E08000001,Bolton,utla,2021-05-03,unassigned,0,0,
E08000001,Bolton,utla,2021-05-03,60+,3,22,33.8
E08000001,Bolton,utla,2021-05-03,00_59,39,227,102.0
E08000001,Bolton,utla,2021-05-02,00_04,0,2,10.4
E08000001,Bolton,utla,2021-05-02,05_09,0,10,49.5
E08000001,Bolton,utla,2021-05-02,10_14,4,24,127.8
E08000001,Bolton,utla,2021-05-02,15_19,1,21,126.6
E08000001,Bolton,utla,2021-05-02,20_24,2,24,144.7
E08000001,Bolton,utla,2021-05-02,25_29,2,21,113.1
E08000001,Bolton,utla,2021-05-02,30_34,4,22,112.0
E08000001,Bolton,utla,2021-05-02,35_39,6,23,124.6
E08000001,Bolton,utla,2021-05-02,40_44,2,26,154.3
E08000001,Bolton,utla,2021-05-02,45_49,2,17,88.0
E08000001,Bolton,utla,2021-05-02,50_54,1,12,59.8
E08000001,Bolton,utla,2021-05-02,55_59,1,12,65.7
E08000001,Bolton,utla,2021-05-02,60_64,1,6,39.3
E08000001,Bolton,utla,2021-05-02,65_69,1,7,50.6
E08000001,Bolton,utla,2021-05-02,70_74,1,6,43.3
E08000001,Bolton,utla,2021-05-02,75_79,1,4,41.6
E08000001,Bolton,utla,2021-05-02,80_84,0,1,14.9
E08000001,Bolton,utla,2021-05-02,85_89,0,0,0.0
E08000001,Bolton,utla,2021-05-02,90+,0,0,0.0
E08000001,Bolton,utla,2021-05-02,unassigned,0,0,
E08000001,Bolton,utla,2021-05-02,60+,4,24,36.9
E08000001,Bolton,utla,2021-05-02,00_59,25,214,96.2
E08000001,Bolton,utla,2021-05-01,00_04,0,2,10.4
E08000001,Bolton,utla,2021-05-01,05_09,2,13,64.4
E08000001,Bolton,utla,2021-05-01,10_14,3,20,106.5
E08000001,Bolton,utla,2021-05-01,15_19,2,22,132.6
E08000001,Bolton,utla,2021-05-01,20_24,4,27,162.8
E08000001,Bolton,utla,2021-05-01,25_29,3,22,118.4
E08000001,Bolton,utla,2021-05-01,30_34,1,22,112.0
E08000001,Bolton,utla,2021-05-01,35_39,5,18,97.5
E08000001,Bolton,utla,2021-05-01,40_44,9,26,154.3
E08000001,Bolton,utla,2021-05-01,45_49,1,16,82.8
E08000001,Bolton,utla,2021-05-01,50_54,1,14,69.8
E08000001,Bolton,utla,2021-05-01,55_59,2,12,65.7
E08000001,Bolton,utla,2021-05-01,60_64,0,7,45.9
E08000001,Bolton,utla,2021-05-01,65_69,3,6,43.3
